,class,firstutterance,noun,nounGerman,nounclass,predicate,predicateGerman,response,slide_number,language,age,gender,education,comments,Browser,OS,screenH,screenW,time_in_minutes,participant_id,asses
7,size,ist ,carrot,Karotte,food,big,gro&szlig;,0.95,10,Deutsch,29,Female,3,"Ich habe eine Weile gebraucht um eine Idee zu bekommen, worauf Sie hinaus wollen. Daher sind meine ersten Antworten vermutlich inkonsistent mit den Folgenden. Außerdem haben die Fragen zum fernsehen für mich wenig Sinn gemacht. Das war kein richtiges Deutsch. ",Chrome,Windows,864,1536,8.677416666666666,9,Yes
8,color,ist ,carrot,Karotte,food,blue,blau,0.25,11,Deutsch,29,Female,3,"Ich habe eine Weile gebraucht um eine Idee zu bekommen, worauf Sie hinaus wollen. Daher sind meine ersten Antworten vermutlich inkonsistent mit den Folgenden. Außerdem haben die Fragen zum fernsehen für mich wenig Sinn gemacht. Das war kein richtiges Deutsch. ",Chrome,Windows,864,1536,8.677416666666666,9,Yes
9,size,ist ,desk,Schreibtisch,furniture,huge,riesig,0.99,12,Deutsch,29,Female,3,"Ich habe eine Weile gebraucht um eine Idee zu bekommen, worauf Sie hinaus wollen. Daher sind meine ersten Antworten vermutlich inkonsistent mit den Folgenden. Außerdem haben die Fragen zum fernsehen für mich wenig Sinn gemacht. Das war kein richtiges Deutsch. ",Chrome,Windows,864,1536,8.677416666666666,9,Yes
10,quality,ist ,fan,Ventilator,furniture,good,gut,0.97,13,Deutsch,29,Female,3,"Ich habe eine Weile gebraucht um eine Idee zu bekommen, worauf Sie hinaus wollen. Daher sind meine ersten Antworten vermutlich inkonsistent mit den Folgenden. Außerdem haben die Fragen zum fernsehen für mich wenig Sinn gemacht. Das war kein richtiges Deutsch. ",Chrome,Windows,864,1536,8.677416666666666,9,Yes
11,texture,ist nicht,tomato,Tomate,food,smooth,glatt,0.2,14,Deutsch,29,Female,3,"Ich habe eine Weile gebraucht um eine Idee zu bekommen, worauf Sie hinaus wollen. Daher sind meine ersten Antworten vermutlich inkonsistent mit den Folgenden. Außerdem haben die Fragen zum fernsehen für mich wenig Sinn gemacht. Das war kein richtiges Deutsch. ",Chrome,Windows,864,1536,8.677416666666666,9,Yes
12,color,ist nicht,carrot,Karotte,food,yellow,gelb,0.24,15,Deutsch,29,Female,3,"Ich habe eine Weile gebraucht um eine Idee zu bekommen, worauf Sie hinaus wollen. Daher sind meine ersten Antworten vermutlich inkonsistent mit den Folgenden. Außerdem haben die Fragen zum fernsehen für mich wenig Sinn gemacht. Das war kein richtiges Deutsch. ",Chrome,Windows,864,1536,8.677416666666666,9,Yes
13,shape,ist ,couch,Couch,furniture,square,quadratisch,0.0,16,Deutsch,29,Female,3,"Ich habe eine Weile gebraucht um eine Idee zu bekommen, worauf Sie hinaus wollen. Daher sind meine ersten Antworten vermutlich inkonsistent mit den Folgenden. Außerdem haben die Fragen zum fernsehen für mich wenig Sinn gemacht. Das war kein richtiges Deutsch. ",Chrome,Windows,864,1536,8.677416666666666,9,Yes
14,shape,ist nicht,fan,Ventilator,furniture,round,rund,0.01,17,Deutsch,29,Female,3,"Ich habe eine Weile gebraucht um eine Idee zu bekommen, worauf Sie hinaus wollen. Daher sind meine ersten Antworten vermutlich inkonsistent mit den Folgenden. Außerdem haben die Fragen zum fernsehen für mich wenig Sinn gemacht. Das war kein richtiges Deutsch. ",Chrome,Windows,864,1536,8.677416666666666,9,Yes
15,age,ist nicht,TV,Fernsehen,furniture,rotten,faul,0.5,18,Deutsch,29,Female,3,"Ich habe eine Weile gebraucht um eine Idee zu bekommen, worauf Sie hinaus wollen. Daher sind meine ersten Antworten vermutlich inkonsistent mit den Folgenden. Außerdem haben die Fragen zum fernsehen für mich wenig Sinn gemacht. Das war kein richtiges Deutsch. ",Chrome,Windows,864,1536,8.677416666666666,9,Yes
16,age,ist nicht,cheese,K&auml;se,food,new,neu,0.07,19,Deutsch,29,Female,3,"Ich habe eine Weile gebraucht um eine Idee zu bekommen, worauf Sie hinaus wollen. Daher sind meine ersten Antworten vermutlich inkonsistent mit den Folgenden. Außerdem haben die Fragen zum fernsehen für mich wenig Sinn gemacht. Das war kein richtiges Deutsch. ",Chrome,Windows,864,1536,8.677416666666666,9,Yes
17,size,ist nicht,desk,Schreibtisch,furniture,small,klein,1.0,20,Deutsch,29,Female,3,"Ich habe eine Weile gebraucht um eine Idee zu bekommen, worauf Sie hinaus wollen. Daher sind meine ersten Antworten vermutlich inkonsistent mit den Folgenden. Außerdem haben die Fragen zum fernsehen für mich wenig Sinn gemacht. Das war kein richtiges Deutsch. ",Chrome,Windows,864,1536,8.677416666666666,9,Yes
18,size,ist nicht,couch,Couch,furniture,short,kurz,0.95,21,Deutsch,29,Female,3,"Ich habe eine Weile gebraucht um eine Idee zu bekommen, worauf Sie hinaus wollen. Daher sind meine ersten Antworten vermutlich inkonsistent mit den Folgenden. Außerdem haben die Fragen zum fernsehen für mich wenig Sinn gemacht. Das war kein richtiges Deutsch. ",Chrome,Windows,864,1536,8.677416666666666,9,Yes
19,texture,ist ,cheese,K&auml;se,food,soft,weich,0.47,22,Deutsch,29,Female,3,"Ich habe eine Weile gebraucht um eine Idee zu bekommen, worauf Sie hinaus wollen. Daher sind meine ersten Antworten vermutlich inkonsistent mit den Folgenden. Außerdem haben die Fragen zum fernsehen für mich wenig Sinn gemacht. Das war kein richtiges Deutsch. ",Chrome,Windows,864,1536,8.677416666666666,9,Yes
20,color,ist ,tomato,Tomate,food,brown,braun,0.25,23,Deutsch,29,Female,3,"Ich habe eine Weile gebraucht um eine Idee zu bekommen, worauf Sie hinaus wollen. Daher sind meine ersten Antworten vermutlich inkonsistent mit den Folgenden. Außerdem haben die Fragen zum fernsehen für mich wenig Sinn gemacht. Das war kein richtiges Deutsch. ",Chrome,Windows,864,1536,8.677416666666666,9,Yes
21,color,ist ,apple,Apfel,food,green,gr&uuml;n,0.2,24,Deutsch,29,Female,3,"Ich habe eine Weile gebraucht um eine Idee zu bekommen, worauf Sie hinaus wollen. Daher sind meine ersten Antworten vermutlich inkonsistent mit den Folgenden. Außerdem haben die Fragen zum fernsehen für mich wenig Sinn gemacht. Das war kein richtiges Deutsch. ",Chrome,Windows,864,1536,8.677416666666666,9,Yes
22,color,ist nicht,TV,Fernsehen,furniture,purple,purpur,0.24,25,Deutsch,29,Female,3,"Ich habe eine Weile gebraucht um eine Idee zu bekommen, worauf Sie hinaus wollen. Daher sind meine ersten Antworten vermutlich inkonsistent mit den Folgenden. Außerdem haben die Fragen zum fernsehen für mich wenig Sinn gemacht. Das war kein richtiges Deutsch. ",Chrome,Windows,864,1536,8.677416666666666,9,Yes
23,size,ist ,couch,Couch,furniture,tiny,winzig,0.97,26,Deutsch,29,Female,3,"Ich habe eine Weile gebraucht um eine Idee zu bekommen, worauf Sie hinaus wollen. Daher sind meine ersten Antworten vermutlich inkonsistent mit den Folgenden. Außerdem haben die Fragen zum fernsehen für mich wenig Sinn gemacht. Das war kein richtiges Deutsch. ",Chrome,Windows,864,1536,8.677416666666666,9,Yes
24,age,ist nicht,TV,Fernsehen,furniture,fresh,frisch,0.31,27,Deutsch,29,Female,3,"Ich habe eine Weile gebraucht um eine Idee zu bekommen, worauf Sie hinaus wollen. Daher sind meine ersten Antworten vermutlich inkonsistent mit den Folgenden. Außerdem haben die Fragen zum fernsehen für mich wenig Sinn gemacht. Das war kein richtiges Deutsch. ",Chrome,Windows,864,1536,8.677416666666666,9,Yes
25,nationality,ist ,chair,Stuhl,furniture,French,franz&ouml;sisch,0.26,28,Deutsch,29,Female,3,"Ich habe eine Weile gebraucht um eine Idee zu bekommen, worauf Sie hinaus wollen. Daher sind meine ersten Antworten vermutlich inkonsistent mit den Folgenden. Außerdem haben die Fragen zum fernsehen für mich wenig Sinn gemacht. Das war kein richtiges Deutsch. ",Chrome,Windows,864,1536,8.677416666666666,9,Yes
0,age,ist ,fan,Ventilator,furniture,rotten,faul,0.79,3,Deutsch,27,Male,3,,Firefox,Windows,1080,1920,3.67025,10,Yes
1,color,ist ,couch,Couch,furniture,purple,purpur,0.08,4,Deutsch,27,Male,3,,Firefox,Windows,1080,1920,3.67025,10,Yes
2,color,ist nicht,cheese,K&auml;se,food,yellow,gelb,0.31,5,Deutsch,27,Male,3,,Firefox,Windows,1080,1920,3.67025,10,Yes
3,nationality,ist ,apple,Apfel,food,German,deutsch,0.15,6,Deutsch,27,Male,3,,Firefox,Windows,1080,1920,3.67025,10,Yes
4,age,ist nicht,apple,Apfel,food,old,alt,0.84,7,Deutsch,27,Male,3,,Firefox,Windows,1080,1920,3.67025,10,Yes
5,shape,ist nicht,banana,Banane,food,round,rund,0.03,8,Deutsch,27,Male,3,,Firefox,Windows,1080,1920,3.67025,10,Yes
6,size,ist nicht,carrot,Karotte,food,huge,riesig,0.39,9,Deutsch,27,Male,3,,Firefox,Windows,1080,1920,3.67025,10,Yes
7,color,ist ,fan,Ventilator,furniture,blue,blau,0.17,10,Deutsch,27,Male,3,,Firefox,Windows,1080,1920,3.67025,10,Yes
8,size,ist ,carrot,Karotte,food,small,klein,0.58,11,Deutsch,27,Male,3,,Firefox,Windows,1080,1920,3.67025,10,Yes
9,age,ist nicht,tomato,Tomate,food,fresh,frisch,0.64,12,Deutsch,27,Male,3,,Firefox,Windows,1080,1920,3.67025,10,Yes
10,age,ist ,desk,Schreibtisch,furniture,new,neu,0.8,13,Deutsch,27,Male,3,,Firefox,Windows,1080,1920,3.67025,10,Yes
11,quality,ist nicht,couch,Couch,furniture,good,gut,0.92,14,Deutsch,27,Male,3,,Firefox,Windows,1080,1920,3.67025,10,Yes
12,shape,ist nicht,couch,Couch,furniture,square,quadratisch,0.03,15,Deutsch,27,Male,3,,Firefox,Windows,1080,1920,3.67025,10,Yes
13,texture,ist nicht,couch,Couch,furniture,soft,weich,0.83,16,Deutsch,27,Male,3,,Firefox,Windows,1080,1920,3.67025,10,Yes
14,size,ist ,banana,Banane,food,short,kurz,0.64,17,Deutsch,27,Male,3,,Firefox,Windows,1080,1920,3.67025,10,Yes
15,color,ist ,banana,Banane,food,green,gr&uuml;n,0.43,18,Deutsch,27,Male,3,,Firefox,Windows,1080,1920,3.67025,10,Yes
16,nationality,ist nicht,TV,Fernsehen,furniture,French,franz&ouml;sisch,0.08,19,Deutsch,27,Male,3,,Firefox,Windows,1080,1920,3.67025,10,Yes
17,color,ist nicht,banana,Banane,food,red,rot,0.33,20,Deutsch,27,Male,3,,Firefox,Windows,1080,1920,3.67025,10,Yes
18,quality,ist nicht,apple,Apfel,food,bad,schlecht,0.76,21,Deutsch,27,Male,3,,Firefox,Windows,1080,1920,3.67025,10,Yes
19,size,ist ,chair,Stuhl,furniture,long,lang,0.51,22,Deutsch,27,Male,3,,Firefox,Windows,1080,1920,3.67025,10,Yes
20,texture,ist ,couch,Couch,furniture,smooth,glatt,0.58,23,Deutsch,27,Male,3,,Firefox,Windows,1080,1920,3.67025,10,Yes
21,size,ist nicht,apple,Apfel,food,big,gro&szlig;,0.68,24,Deutsch,27,Male,3,,Firefox,Windows,1080,1920,3.67025,10,Yes
22,size,ist nicht,carrot,Karotte,food,tiny,winzig,0.61,25,Deutsch,27,Male,3,,Firefox,Windows,1080,1920,3.67025,10,Yes
23,nationality,ist ,apple,Apfel,food,American,americanisch,0.21,26,Deutsch,27,Male,3,,Firefox,Windows,1080,1920,3.67025,10,Yes
24,texture,ist nicht,apple,Apfel,food,hard,hart,0.77,27,Deutsch,27,Male,3,,Firefox,Windows,1080,1920,3.67025,10,Yes
25,color,ist nicht,banana,Banane,food,brown,braun,0.42,28,Deutsch,27,Male,3,,Firefox,Windows,1080,1920,3.67025,10,Yes
0,age,ist nicht,TV,Fernsehen,furniture,rotten,faul,0.95,3,Deutsch,24,Female,2,"Wie kann das Fernsehen frisch sein? Manche Aussagen habe ich ehrlich gesagt nicht ganz verstanden, obwohl ich Muttersprachlerin bin.",Safari,Mac,900,1440,10.900033333333333,11,Yes
1,nationality,ist ,desk,Schreibtisch,furniture,German,deutsch,0.96,4,Deutsch,24,Female,2,"Wie kann das Fernsehen frisch sein? Manche Aussagen habe ich ehrlich gesagt nicht ganz verstanden, obwohl ich Muttersprachlerin bin.",Safari,Mac,900,1440,10.900033333333333,11,Yes
2,shape,ist ,couch,Couch,furniture,square,quadratisch,0.05,5,Deutsch,24,Female,2,"Wie kann das Fernsehen frisch sein? Manche Aussagen habe ich ehrlich gesagt nicht ganz verstanden, obwohl ich Muttersprachlerin bin.",Safari,Mac,900,1440,10.900033333333333,11,Yes
3,color,ist nicht,fan,Ventilator,furniture,red,rot,0.21,6,Deutsch,24,Female,2,"Wie kann das Fernsehen frisch sein? Manche Aussagen habe ich ehrlich gesagt nicht ganz verstanden, obwohl ich Muttersprachlerin bin.",Safari,Mac,900,1440,10.900033333333333,11,Yes
4,size,ist nicht,TV,Fernsehen,furniture,small,klein,0.97,7,Deutsch,24,Female,2,"Wie kann das Fernsehen frisch sein? Manche Aussagen habe ich ehrlich gesagt nicht ganz verstanden, obwohl ich Muttersprachlerin bin.",Safari,Mac,900,1440,10.900033333333333,11,Yes
5,size,ist nicht,cheese,K&auml;se,food,tiny,winzig,0.47,8,Deutsch,24,Female,2,"Wie kann das Fernsehen frisch sein? Manche Aussagen habe ich ehrlich gesagt nicht ganz verstanden, obwohl ich Muttersprachlerin bin.",Safari,Mac,900,1440,10.900033333333333,11,Yes
6,quality,ist nicht,fan,Ventilator,furniture,bad,schlecht,0.37,9,Deutsch,24,Female,2,"Wie kann das Fernsehen frisch sein? Manche Aussagen habe ich ehrlich gesagt nicht ganz verstanden, obwohl ich Muttersprachlerin bin.",Safari,Mac,900,1440,10.900033333333333,11,Yes
7,size,ist ,tomato,Tomate,food,long,lang,0.35,10,Deutsch,24,Female,2,"Wie kann das Fernsehen frisch sein? Manche Aussagen habe ich ehrlich gesagt nicht ganz verstanden, obwohl ich Muttersprachlerin bin.",Safari,Mac,900,1440,10.900033333333333,11,Yes
8,size,ist nicht,tomato,Tomate,food,big,gro&szlig;,0.36,11,Deutsch,24,Female,2,"Wie kann das Fernsehen frisch sein? Manche Aussagen habe ich ehrlich gesagt nicht ganz verstanden, obwohl ich Muttersprachlerin bin.",Safari,Mac,900,1440,10.900033333333333,11,Yes
9,nationality,ist ,banana,Banane,food,American,americanisch,0.04,12,Deutsch,24,Female,2,"Wie kann das Fernsehen frisch sein? Manche Aussagen habe ich ehrlich gesagt nicht ganz verstanden, obwohl ich Muttersprachlerin bin.",Safari,Mac,900,1440,10.900033333333333,11,Yes
10,texture,ist ,TV,Fernsehen,furniture,hard,hart,0.99,13,Deutsch,24,Female,2,"Wie kann das Fernsehen frisch sein? Manche Aussagen habe ich ehrlich gesagt nicht ganz verstanden, obwohl ich Muttersprachlerin bin.",Safari,Mac,900,1440,10.900033333333333,11,Yes
11,color,ist nicht,couch,Couch,furniture,purple,purpur,0.13,14,Deutsch,24,Female,2,"Wie kann das Fernsehen frisch sein? Manche Aussagen habe ich ehrlich gesagt nicht ganz verstanden, obwohl ich Muttersprachlerin bin.",Safari,Mac,900,1440,10.900033333333333,11,Yes
12,quality,ist nicht,tomato,Tomate,food,good,gut,0.59,15,Deutsch,24,Female,2,"Wie kann das Fernsehen frisch sein? Manche Aussagen habe ich ehrlich gesagt nicht ganz verstanden, obwohl ich Muttersprachlerin bin.",Safari,Mac,900,1440,10.900033333333333,11,Yes
13,texture,ist ,chair,Stuhl,furniture,smooth,glatt,0.18,16,Deutsch,24,Female,2,"Wie kann das Fernsehen frisch sein? Manche Aussagen habe ich ehrlich gesagt nicht ganz verstanden, obwohl ich Muttersprachlerin bin.",Safari,Mac,900,1440,10.900033333333333,11,Yes
14,age,ist nicht,cheese,K&auml;se,food,old,alt,0.68,17,Deutsch,24,Female,2,"Wie kann das Fernsehen frisch sein? Manche Aussagen habe ich ehrlich gesagt nicht ganz verstanden, obwohl ich Muttersprachlerin bin.",Safari,Mac,900,1440,10.900033333333333,11,Yes
15,color,ist ,tomato,Tomate,food,green,gr&uuml;n,0.19,18,Deutsch,24,Female,2,"Wie kann das Fernsehen frisch sein? Manche Aussagen habe ich ehrlich gesagt nicht ganz verstanden, obwohl ich Muttersprachlerin bin.",Safari,Mac,900,1440,10.900033333333333,11,Yes
16,color,ist ,fan,Ventilator,furniture,blue,blau,0.01,19,Deutsch,24,Female,2,"Wie kann das Fernsehen frisch sein? Manche Aussagen habe ich ehrlich gesagt nicht ganz verstanden, obwohl ich Muttersprachlerin bin.",Safari,Mac,900,1440,10.900033333333333,11,Yes
17,texture,ist nicht,banana,Banane,food,soft,weich,0.61,20,Deutsch,24,Female,2,"Wie kann das Fernsehen frisch sein? Manche Aussagen habe ich ehrlich gesagt nicht ganz verstanden, obwohl ich Muttersprachlerin bin.",Safari,Mac,900,1440,10.900033333333333,11,Yes
18,size,ist ,apple,Apfel,food,huge,riesig,0.13,21,Deutsch,24,Female,2,"Wie kann das Fernsehen frisch sein? Manche Aussagen habe ich ehrlich gesagt nicht ganz verstanden, obwohl ich Muttersprachlerin bin.",Safari,Mac,900,1440,10.900033333333333,11,Yes
19,size,ist nicht,couch,Couch,furniture,short,kurz,0.76,22,Deutsch,24,Female,2,"Wie kann das Fernsehen frisch sein? Manche Aussagen habe ich ehrlich gesagt nicht ganz verstanden, obwohl ich Muttersprachlerin bin.",Safari,Mac,900,1440,10.900033333333333,11,Yes
20,color,ist ,desk,Schreibtisch,furniture,brown,braun,0.03,23,Deutsch,24,Female,2,"Wie kann das Fernsehen frisch sein? Manche Aussagen habe ich ehrlich gesagt nicht ganz verstanden, obwohl ich Muttersprachlerin bin.",Safari,Mac,900,1440,10.900033333333333,11,Yes
21,age,ist nicht,fan,Ventilator,furniture,new,neu,0.11,24,Deutsch,24,Female,2,"Wie kann das Fernsehen frisch sein? Manche Aussagen habe ich ehrlich gesagt nicht ganz verstanden, obwohl ich Muttersprachlerin bin.",Safari,Mac,900,1440,10.900033333333333,11,Yes
22,age,ist nicht,TV,Fernsehen,furniture,fresh,frisch,0.13,25,Deutsch,24,Female,2,"Wie kann das Fernsehen frisch sein? Manche Aussagen habe ich ehrlich gesagt nicht ganz verstanden, obwohl ich Muttersprachlerin bin.",Safari,Mac,900,1440,10.900033333333333,11,Yes
23,color,ist ,fan,Ventilator,furniture,yellow,gelb,0.0,26,Deutsch,24,Female,2,"Wie kann das Fernsehen frisch sein? Manche Aussagen habe ich ehrlich gesagt nicht ganz verstanden, obwohl ich Muttersprachlerin bin.",Safari,Mac,900,1440,10.900033333333333,11,Yes
24,nationality,ist ,carrot,Karotte,food,French,franz&ouml;sisch,0.03,27,Deutsch,24,Female,2,"Wie kann das Fernsehen frisch sein? Manche Aussagen habe ich ehrlich gesagt nicht ganz verstanden, obwohl ich Muttersprachlerin bin.",Safari,Mac,900,1440,10.900033333333333,11,Yes
25,shape,ist nicht,fan,Ventilator,furniture,round,rund,0.0,28,Deutsch,24,Female,2,"Wie kann das Fernsehen frisch sein? Manche Aussagen habe ich ehrlich gesagt nicht ganz verstanden, obwohl ich Muttersprachlerin bin.",Safari,Mac,900,1440,10.900033333333333,11,Yes
0,color,ist ,banana,Banane,food,purple,purpur,0.0,3,Deutsch,37,Female,1,,Chrome,Mac,900,1440,4.4444,12,Yes
1,size,ist ,TV,Fernsehen,furniture,huge,riesig,0.86,4,Deutsch,37,Female,1,,Chrome,Mac,900,1440,4.4444,12,Yes
2,nationality,ist ,carrot,Karotte,food,German,deutsch,0.0,5,Deutsch,37,Female,1,,Chrome,Mac,900,1440,4.4444,12,Yes
3,nationality,ist ,TV,Fernsehen,furniture,French,franz&ouml;sisch,0.0,6,Deutsch,37,Female,1,,Chrome,Mac,900,1440,4.4444,12,Yes
4,color,ist nicht,couch,Couch,furniture,brown,braun,0.0,7,Deutsch,37,Female,1,,Chrome,Mac,900,1440,4.4444,12,Yes
5,age,ist nicht,cheese,K&auml;se,food,new,neu,0.0,8,Deutsch,37,Female,1,,Chrome,Mac,900,1440,4.4444,12,Yes
6,texture,ist ,banana,Banane,food,hard,hart,0.35,9,Deutsch,37,Female,1,,Chrome,Mac,900,1440,4.4444,12,Yes
7,nationality,ist nicht,apple,Apfel,food,American,americanisch,0.0,10,Deutsch,37,Female,1,,Chrome,Mac,900,1440,4.4444,12,Yes
8,age,ist ,couch,Couch,furniture,old,alt,0.35,11,Deutsch,37,Female,1,,Chrome,Mac,900,1440,4.4444,12,Yes
9,texture,ist nicht,banana,Banane,food,smooth,glatt,0.19,12,Deutsch,37,Female,1,,Chrome,Mac,900,1440,4.4444,12,Yes
10,size,ist nicht,desk,Schreibtisch,furniture,long,lang,0.57,13,Deutsch,37,Female,1,,Chrome,Mac,900,1440,4.4444,12,Yes
11,quality,ist ,desk,Schreibtisch,furniture,bad,schlecht,1.0,14,Deutsch,37,Female,1,,Chrome,Mac,900,1440,4.4444,12,Yes
12,size,ist nicht,tomato,Tomate,food,big,gro&szlig;,0.43,15,Deutsch,37,Female,1,,Chrome,Mac,900,1440,4.4444,12,Yes
13,shape,ist ,couch,Couch,furniture,square,quadratisch,0.0,16,Deutsch,37,Female,1,,Chrome,Mac,900,1440,4.4444,12,Yes
14,size,ist ,banana,Banane,food,short,kurz,0.12,17,Deutsch,37,Female,1,,Chrome,Mac,900,1440,4.4444,12,Yes
15,age,ist ,tomato,Tomate,food,rotten,faul,0.17,18,Deutsch,37,Female,1,,Chrome,Mac,900,1440,4.4444,12,Yes
16,color,ist nicht,tomato,Tomate,food,red,rot,0.0,19,Deutsch,37,Female,1,,Chrome,Mac,900,1440,4.4444,12,Yes
17,color,ist nicht,tomato,Tomate,food,yellow,gelb,0.0,20,Deutsch,37,Female,1,,Chrome,Mac,900,1440,4.4444,12,Yes
18,color,ist nicht,TV,Fernsehen,furniture,green,gr&uuml;n,0.0,21,Deutsch,37,Female,1,,Chrome,Mac,900,1440,4.4444,12,Yes
19,color,ist nicht,TV,Fernsehen,furniture,blue,blau,0.0,22,Deutsch,37,Female,1,,Chrome,Mac,900,1440,4.4444,12,Yes
20,quality,ist ,apple,Apfel,food,good,gut,0.59,23,Deutsch,37,Female,1,,Chrome,Mac,900,1440,4.4444,12,Yes
21,size,ist ,banana,Banane,food,tiny,winzig,0.39,24,Deutsch,37,Female,1,,Chrome,Mac,900,1440,4.4444,12,Yes
22,age,ist ,desk,Schreibtisch,furniture,fresh,frisch,0.12,25,Deutsch,37,Female,1,,Chrome,Mac,900,1440,4.4444,12,Yes
23,shape,ist ,couch,Couch,furniture,round,rund,0.0,26,Deutsch,37,Female,1,,Chrome,Mac,900,1440,4.4444,12,Yes
24,size,ist ,couch,Couch,furniture,small,klein,0.42,27,Deutsch,37,Female,1,,Chrome,Mac,900,1440,4.4444,12,Yes
25,texture,ist ,couch,Couch,furniture,soft,weich,0.83,28,Deutsch,37,Female,1,,Chrome,Mac,900,1440,4.4444,12,Yes
0,size,ist nicht,chair,Stuhl,furniture,small,klein,0.98,3,deutsch,20,Male,2,,Chrome,Windows,778,1384,3.3133333333333335,13,Yes
1,quality,ist nicht,TV,Fernsehen,furniture,good,gut,0.94,4,deutsch,20,Male,2,,Chrome,Windows,778,1384,3.3133333333333335,13,Yes
2,nationality,ist ,fan,Ventilator,furniture,French,franz&ouml;sisch,0.0,5,deutsch,20,Male,2,,Chrome,Windows,778,1384,3.3133333333333335,13,Yes
3,shape,ist ,TV,Fernsehen,furniture,square,quadratisch,0.01,6,deutsch,20,Male,2,,Chrome,Windows,778,1384,3.3133333333333335,13,Yes
4,size,ist ,carrot,Karotte,food,big,gro&szlig;,1.0,7,deutsch,20,Male,2,,Chrome,Windows,778,1384,3.3133333333333335,13,Yes
5,age,ist ,chair,Stuhl,furniture,fresh,frisch,0.49,8,deutsch,20,Male,2,,Chrome,Windows,778,1384,3.3133333333333335,13,Yes
6,nationality,ist ,fan,Ventilator,furniture,American,americanisch,0.0,9,deutsch,20,Male,2,,Chrome,Windows,778,1384,3.3133333333333335,13,Yes
7,texture,ist ,TV,Fernsehen,furniture,hard,hart,0.99,10,deutsch,20,Male,2,,Chrome,Windows,778,1384,3.3133333333333335,13,Yes
8,nationality,ist ,desk,Schreibtisch,furniture,German,deutsch,0.0,11,deutsch,20,Male,2,,Chrome,Windows,778,1384,3.3133333333333335,13,Yes
9,size,ist ,fan,Ventilator,furniture,long,lang,1.0,12,deutsch,20,Male,2,,Chrome,Windows,778,1384,3.3133333333333335,13,Yes
10,texture,ist nicht,banana,Banane,food,smooth,glatt,1.0,13,deutsch,20,Male,2,,Chrome,Windows,778,1384,3.3133333333333335,13,Yes
11,age,ist ,tomato,Tomate,food,old,alt,1.0,14,deutsch,20,Male,2,,Chrome,Windows,778,1384,3.3133333333333335,13,Yes
12,texture,ist nicht,carrot,Karotte,food,soft,weich,0.97,15,deutsch,20,Male,2,,Chrome,Windows,778,1384,3.3133333333333335,13,Yes
13,color,ist ,carrot,Karotte,food,red,rot,0.0,16,deutsch,20,Male,2,,Chrome,Windows,778,1384,3.3133333333333335,13,Yes
14,color,ist ,apple,Apfel,food,brown,braun,0.0,17,deutsch,20,Male,2,,Chrome,Windows,778,1384,3.3133333333333335,13,Yes
15,color,ist nicht,desk,Schreibtisch,furniture,green,gr&uuml;n,0.0,18,deutsch,20,Male,2,,Chrome,Windows,778,1384,3.3133333333333335,13,Yes
16,color,ist nicht,carrot,Karotte,food,yellow,gelb,0.0,19,deutsch,20,Male,2,,Chrome,Windows,778,1384,3.3133333333333335,13,Yes
17,age,ist ,cheese,K&auml;se,food,rotten,faul,0.0,20,deutsch,20,Male,2,,Chrome,Windows,778,1384,3.3133333333333335,13,Yes
18,quality,ist ,banana,Banane,food,bad,schlecht,0.0,21,deutsch,20,Male,2,,Chrome,Windows,778,1384,3.3133333333333335,13,Yes
19,shape,ist nicht,apple,Apfel,food,round,rund,0.0,22,deutsch,20,Male,2,,Chrome,Windows,778,1384,3.3133333333333335,13,Yes
20,size,ist nicht,apple,Apfel,food,tiny,winzig,1.0,23,deutsch,20,Male,2,,Chrome,Windows,778,1384,3.3133333333333335,13,Yes
21,color,ist ,fan,Ventilator,furniture,purple,purpur,0.0,24,deutsch,20,Male,2,,Chrome,Windows,778,1384,3.3133333333333335,13,Yes
22,age,ist ,banana,Banane,food,new,neu,1.0,25,deutsch,20,Male,2,,Chrome,Windows,778,1384,3.3133333333333335,13,Yes
23,size,ist nicht,couch,Couch,furniture,huge,riesig,1.0,26,deutsch,20,Male,2,,Chrome,Windows,778,1384,3.3133333333333335,13,Yes
24,size,ist ,chair,Stuhl,furniture,short,kurz,1.0,27,deutsch,20,Male,2,,Chrome,Windows,778,1384,3.3133333333333335,13,Yes
25,color,ist nicht,carrot,Karotte,food,blue,blau,0.0,28,deutsch,20,Male,2,,Chrome,Windows,778,1384,3.3133333333333335,13,Yes
0,age,ist ,fan,Ventilator,furniture,new,neu,0.94,3,Deutsch,33,Female,2,Es sind mir ein paar Grammatikfehler aufgefallen,Safari,an unknown OS,1024,768,6.022633333333333,14,Yes
1,texture,ist nicht,TV,Fernsehen,furniture,smooth,glatt,0.07,4,Deutsch,33,Female,2,Es sind mir ein paar Grammatikfehler aufgefallen,Safari,an unknown OS,1024,768,6.022633333333333,14,Yes
2,color,ist nicht,chair,Stuhl,furniture,brown,braun,0.08,5,Deutsch,33,Female,2,Es sind mir ein paar Grammatikfehler aufgefallen,Safari,an unknown OS,1024,768,6.022633333333333,14,Yes
3,size,ist ,fan,Ventilator,furniture,small,klein,0.97,6,Deutsch,33,Female,2,Es sind mir ein paar Grammatikfehler aufgefallen,Safari,an unknown OS,1024,768,6.022633333333333,14,Yes
